"id","cook_id","value","sort","title_sort"
"186","21","A tablespoon of salt.","2","مكونات الأرز:
"
"187","21","Four cups of basmati rice.","2","مكونات الأرز:
"
"188","21","A teaspoon of correct cloves.","2","مكونات الأرز:
"
"189","21","A teaspoon of right black pepper.","2","مكونات الأرز:
"
"190","21","Two bay papers.","2","مكونات الأرز:
"
"191","21","Two tablespoons of each of:
Correct latency.
Coriander right.
The right fennel.
corn oil.","2","مكونات الأرز:
"
"192","21","Correct latency.","2","مكونات الأرز:
"
"193","21","Coriander right.","2","مكونات الأرز:
"
"194","21","The right fennel.","2","مكونات الأرز:
"
"195","21","corn oil.","2","مكونات الأرز:
"
"196","21","Six cups of water.","2","مكونات الأرز:
"
"197","21","Fried nuts for garnishing.","2","مكونات الأرز:
"
"198","21","Two tablespoons of flour.","-1","مكونات البصل المكرمل:
"
"199","21","A large onion.","-1","مكونات البصل المكرمل:
"
"200","21","Half a teaspoon of saffron.","-3","مكونات خليط الزعفران:
"
"201","21","Two tablespoons of rose water.","-3","مكونات خليط الزعفران:
"
"202","22","Pinch of cloves.","1",
"203","22","Half a cup of chopped:
Red pepper .
green pepper.
Sweet yellow pepper (turkey) chopped.","1",
"204","22","Red pepper .","1",
"205","22","green pepper.","1",
"206","22","Sweet yellow pepper (turkey) chopped.","1",
"207","22","Two tablespoons of corn oil.","1",
"208","22","Three cups of basmati rice.","1",
"209","22","A quarter of a spoonful of ground black pepper.","1",
"210","22","A cup of grated carrots.","1",
"211","22","A large piece of rough chopped onion.","1",
"212","22","Half a teaspoon of each of:
Cinnamon.
Ground cardamom.
Finely ground coriander.","1",
"213","22","Cinnamon.","1",
"214","22","Ground cardamom.","1",
"215","22","Finely ground coriander.","1",
"216","22","A medium sized piece of chopped tomato.","1",
"217","22","Three cups of broth.","1",
"218","22","Three tablespoons of butter.","1",
"219","22","Half a cup of each of:
Dill.
parsley.
Chopped coriander.","1",
"220","22","Dill.","1",
"221","22","parsley.","1",
"222","22","Chopped coriander.","1",
"223","22","A teaspoon and a half of salt.","1",
"224","22","A cup of mushrooms cut into thick slices.","1",
"225","23","Three tablespoons of butter, because the butter gives the rice a special taste.","0",
"226","23","Six grains of cardamom of love.","0",
"227","23","Two cups of bashawar rice.","0",
"228","23","Two cups of water.","0",
"229","23","A little clove.","0",
"230","23","A large onion.","0",
"231","23","A quarter cup of frying oil.","0",
"232","23","Two or three cloves of garlic.","0",
"233","23","A little brown pepper spices.","0",
"234","23","Two medium sized green peppers.","0",
"235","23","A cube of magi.","0",
"236","23","Half a spoonful of salt.","0",
"237","24","Two and a half cups of Bashawer rice.","0",
"238","24","A teaspoon of saffron.","0",
"239","24","Kilograms of chicken.","0",
"240","24","A quarter cup of corn oil.","0",
"241","24","Two onions cut into circular slices.","0",
"242","24","A tablespoon of ginger, chopped.","0",
"243","24","Six cloves of crushed garlic.","0",
"244","24","Two pods of hot green pepper, chopped.","0",
"245","24","A tablespoon of biryani spices.","0",
"246","24","A teaspoon of turmeric.","0",
"247","24","Three teaspoons of salt.","0",
"248","24","Half a teaspoon of black pepper.","0",
"249","24","Two cinnamon sticks.","0",
"250","24","Three bay leaves.","0",
"251","24","Six grains of cardamom right.","0",
"252","24","A teaspoon of correct cumin.","0",
"253","24","A teaspoon of fine cumin.","0",
"254","24","A teaspoon of coriander, correct.","0",
"255","24","A teaspoon of fine coriander.","0",
"256","24","Two large grains of tomatoes, chopped.","0",
"257","24","Two tablespoons of tomato paste.","0",
"258","24","A large potato, cut into small cubes.","0",
"259","24","Half a cup of yogurt.","0",
"260","24","A cup of chopped coriander.","0",
"261","24","A cup of green fenugreek.","0",
"262","25","Three cups of Egyptian rice.","0",
"263","25","A cup of vermicelli.","0",
"264","25","Two tablespoons of ghee, which can be substituted with butter or corn oil.","0",
"265","25","Salt and black pepper, to taste.","0",
"266","25","Bay leaf.","0",
"267","25","Three cups of hot water.","0",
"268","26","A cup of brown lentils.","0",
"269","26","A cup of white rice.","0",
"270","26","A tablespoon of cumin.","0",
"271","26","A tablespoon of salt.","0",
"272","26","Medium onion.","0",
"273","26","Amount of vegetable oil.","0",
"274","27","Three cups of long-grain rice.","0",
"275","27","A cup and a half of brown lentils.","0",
"276","27","Two onions, cut into wings.","0",
"277","27","Half a cup of vegetable oil.","0",
"278","27","Two cubes of chicken broth.","0",
"279","27","Small spoon of salt.","0",
"280","27","¼ teaspoon of black pepper.","0",
"281","27","A quarter of a teaspoon of cumin.","0",
"282","27","Five cups of water.","0",
"283","28","Three cups of water.","2",
"284","28","Two and a half cups of water.","2",
"285","28","A cup of brown lentils.","2",
"286","28","Half a cup of white long-grain rice.","2",
"287","28","A spoon of ground spices.","2",
"288","28","A tablespoon of dry ground coriander.","2",
"289","28","Spoonful of salt.","2",
"290","28","A teaspoon of black pepper.","2",
"291","28","Half a cup of water.","0","مكوّنات كراميل البصل
"
"292","28","A quarter cup of olive oil.","0","مكوّنات كراميل البصل
"
"293","28","Three large onions, sliced ​​thin.","0","مكوّنات كراميل البصل
"
"294","28","A tablespoon of balsamic vinegar.","0","مكوّنات كراميل البصل
"
"295","28","Three tablespoons of sugar.","0","مكوّنات كراميل البصل
"
"296","29","Three cups of basmati rice.","1",
"297","29","A cup and a half of brown lentils.","1",
"298","29","Two large onions cut into wings.","1",
"299","29","Half a cup of corn oil.","1",
"300","29","Two cubes of chicken broth.","1",
"301","29","Three teaspoons of salt.","1",
"302","29","¼ teaspoon of black pepper.","1",
"303","29","A quarter of a teaspoon of cumin.","1",
"304","29","Five cups of water.","1",
"305","30","Two cups of brown rice.","0",
"306","30","Two tablespoons of butter.","0",
"307","30","Pinch of black pepper and salt.","0",
"308","30","A teaspoon of chicken spices.","0",
"309","30","Half a teaspoon of ginger.","0",
"310","30","Cloves of cardamom.","0",
"311","30","Four pieces of chicken thigh.","0",
"312","30","2 cloves of garlic.","0",
"313","30","Large onion.","0",
"314","30","Four tablespoons of oil.","0",
"315","31","1 peeled zucchini.","0",
"316","31","A piece of bell pepper, cut into cubes.","0",
"317","31","A grain of carrots.","0",
"318","31","One peeled potato.","0",
"319","31","A quarter of a kilogram of minced meat.","0",
"320","31","A cup and a half of brown rice.","0",
"321","31","Pinch of salt.","0",
"322","31","Pinch of black pepper.","0",
"323","31","Two tablespoons of frying oil.","0",
"324","31","Onion.","0",
"325","31","2 cloves of garlic.","0",
"326","31","Two liters of water.","0",
"327","32","Two tablespoons of vegetable oil.","0",
"328","32","225 grams of boneless chicken breast.","0",
"329","32","A red bell pepper.","0",
"330","32","Half a cup of chopped green onions.","0",
"331","32","Four cloves of garlic, crushed.","0",
"332","32","Three cups of brown rice cooked as above.","0",
"333","32","Two tablespoons of light soy sauce.","0",
"334","32","One tablespoon of vinegar.","0",
"335","32","A cup of green peas.","0",
"336","33","Two and a half cups of boiling water.","0",
"337","33","Two cups of washed and drained rice.","0",
"338","33","Two tablespoons of oil.","0",
"339","33","Two teaspoons of sugar.","0",
"340","33","A teaspoon of tomato paste and cumin.","0",
"341","33","Eight teaspoon of tuna and nutmeg.","0",
"342","34","Two and a half cups of soaked rice.","0",
"343","34","A cup of flour.","0",
"344","34","Half a cup of corn oil.","0",
"345","34","A package of fish fillets.","0",
"346","34","Two tablespoons of fried pine nuts and fish spices.","0",
"347","34","Two teaspoons of salt.","0",
"348","34","A teaspoon of turmeric.","0",
"349","34","Half a teaspoon of black pepper.","0",
"350","34","Two large grains of onion slices.","0",
"351","34","Five cloves of sliced ​​garlic.","0",
"352","35","Four cups of water.","2",
"353","35","Two cups of long-grain rice.","2",
"354","35","Four pieces of fillet fish.","2",
"355","35","A tablespoon of lemon juice.","2",
"356","35","A teaspoon of fish seasoning and salt.","2",
"357","35","Half a teaspoon of black pepper, coriander and cumin.","2",
"358","35","Two large grains of onion cut into slices.","2",
"359","35","Corn oil for frying.","2",
"360","35","Fried nuts.","0","التزيين:
"
"361","35","Chopped parsley.","0","التزيين:
"
"362","36","Two cups of medium grain rice.","0",
"363","36","A kilogram of fish is cleaned.","0",
"364","36","A cup of flour, mixed with a tablespoon of cumin and a pinch of salt.","0",
"365","36","A large onion.","0",
"366","36","2 cloves of garlic.","0",
"367","36","Half a teaspoon of black pepper.","0",
"368","36","Small spoon of salt.","0",
"369","36","Pinch of cumin.","0",
"370","36","A teaspoon and a half of fish spices.","0",
"371","37","A cup and a half of Egyptian rice.","0",
"372","37","A quarter cup of chopped vermicelli.","0",
"373","37","Three cups of water, chicken or meat broth.","0",
"374","37","A tablespoon of ghee or butter.","0",
"375","37","A tablespoon of corn oil.","0",
"376","37","A quarter of a teaspoon of salt.","0",
"377","38","Four hundred milliliters of vegetable stock.","0",
"378","38","Twenty grams of clarified butter or margarine.","0",
"379","38","Forty grams of chopped pistachios and roasted pine nuts.","0",
"380","38","Eighty grams of vermicelli.","0",
"381","38","Three hundred grams of long-grain or short-grain rice.","0",
"382","38","2 onions, cut into slices.","0",
"383","39","Four hundred and fifty milliliters of water.","1","مكونات الأرز:
"
"384","39","Four hundred grams of vermicelli and short grain Egyptian rice.","1","مكونات الأرز:
"
"385","39","Three tablespoons of vegetable oil.","1","مكونات الأرز:
"
"386","39","the salt.","1","مكونات الأرز:
"
"387","39","A tablespoon of each of:
Cumin.
Vegetable oil.
Vinegar.","-1","مكونات الحبَّار:
"
"388","39","Cumin.","-1","مكونات الحبَّار:
"
"389","39","Vegetable oil.","-1","مكونات الحبَّار:
"
"390","39","Vinegar.","-1","مكونات الحبَّار:
"
"391","39","One pill of:
Cut green bell pepper into sticks.
Chopped tomatoes.
Sweet yellow pepper cut into sticks.","-1","مكونات الحبَّار:
"
"392","39","Cut green bell pepper into sticks.","-1","مكونات الحبَّار:
"
"393","39","Chopped tomatoes.","-1","مكونات الحبَّار:
"
"394","39","Sweet yellow pepper cut into sticks.","-1","مكونات الحبَّار:
"
"395","39","A teaspoon of powdered chili.","-1","مكونات الحبَّار:
"
"396","39","Five cloves of garlic.","-1","مكونات الحبَّار:
"
"397","39","Salt and pepper, to taste.","-1","مكونات الحبَّار:
"
"398","39","Lemonade.","-1","مكونات الحبَّار:
"
"399","39","A kilo of open large squid.","-1","مكونات الحبَّار:
"
"400","40","2 medium potatoes, cut into large cubes.","2",
"401","40","A teaspoon of dried thyme and rosemary.","2",
"402","40","Half a cup of soaked chickpeas.","2",
"403","40","Two cups of broth.","2",
"404","40","Two teaspoons of salt.","2",
"405","40","One tablespoon of tomato paste.","2",
"406","40","Half a teaspoon of black pepper.","2",
"407","40","Three tablespoons of olive oil.","2",
"408","40","Seven hundred and fifty grams of vermicelli.","2",
"409","40","1 stick of celery, cut into small cubes.","2",
"410","40","Four pieces of chicken thighs.","2",
"411","40","A large carrot, cut into small cubes.","2",
"412","40","Two cloves of minced garlic.","2",
"413","40","Medium onion, diced.","2",
"414","40","Chopped parsley.","0","مكوّنات للتزيين:
"
"415","41","Four cups of basmati rice washed and soaked in hot water for an hour and filtered with soaking water.","2",
"416","41","Five hundred grams of lamb with bone cut into cubes.","2",
"417","41","Two medium-sized onions, cut into wings.","2",
"418","41","1 large peeled and grated tomato.","2",
"419","41","Three carrots.","2",
"420","41","Three tablespoons of tomato paste.","2",
"421","41","Half a cup of raisins soaked in rose water and toasted for garnish.","2",
"422","41","1/3 cup of peeled, roasted halves, for garnish.","2",
"423","41","A little obesity.","2",
"424","41","Two cinnamon sticks.","-1",
"425","41","A teaspoon of mixed spices.","-1",
"426","41","Six cardamom pods.","-1",
"427","41","Five tablets of each of:
Cloves.","-1",
"428","41","Cloves.","-1",
"429","41","Black pepper.","-1",
"430","41","Two bay papers.","-1",
"431","42","Two young chickens, cut into four pieces and marinated in a marinating mixture for several hours or an entire day.","6","المكونات"
"432","42","A quarter cup of each of:
Grape vinegar or apple cider vinegar.
olive oil.","4","مكونات خليط النقع:
"
"433","42","Grape vinegar or apple cider vinegar.","4","مكونات خليط النقع:
"
"434","42","olive oil.","4","مكونات خليط النقع:
"
"435","42","Half a cup of tomato paste.","4","مكونات خليط النقع:
"
"436","42","A tablespoon of crushed garlic.","4","مكونات خليط النقع:
"
"437","42","Two tablespoons of dry thyme (oregano).","4","مكونات خليط النقع:
"
"438","42","Half a teaspoon of the ground spice mixture.","4","مكونات خليط النقع:
"
"439","42","Black pepper.
Mixed spices.","2","مكونات خليط البهارات المطحونة:
ملعقتان صغيرتان من كلٍ من:
"
"440","42","Black pepper.","2","مكونات خليط البهارات المطحونة:
ملعقتان صغيرتان من كلٍ من:
"
"441","42","Mixed spices.","2","مكونات خليط البهارات المطحونة:
ملعقتان صغيرتان من كلٍ من:
"
"442","42","1 teaspoon of:
Cardamom.
Cinnamon.
Nutmeg.","2","مكونات خليط البهارات المطحونة:
ملعقتان صغيرتان من كلٍ من:
"
"443","42","Cardamom.","2","مكونات خليط البهارات المطحونة:
ملعقتان صغيرتان من كلٍ من:
"
"444","42","Cinnamon.","2","مكونات خليط البهارات المطحونة:
ملعقتان صغيرتان من كلٍ من:
"
"445","42","Nutmeg.","2","مكونات خليط البهارات المطحونة:
ملعقتان صغيرتان من كلٍ من:
"
"446","42","A quarter cup of vegetable oil or ghee, or a mixture of them.","0","مكونات الأرز:
"
"447","42","A large onion, cut into small cubes.","0","مكونات الأرز:
"
"448","42","Three cups of basmati rice, washed and soaked.","0","مكونات الأرز:
"
"449","42","A tablespoon of crushed garlic.","0","مكونات الأرز:
"
"450","42","A cup of chopped tomatoes boiled in small cubes.","0","مكونات الأرز:
"
"451","42","Four and a half cups of hot chicken broth.","0","مكونات الأرز:
"
"452","42","A teaspoon of the ground spice mixture.","0","مكونات الأرز:
"
"453","42","Two tablespoons of tomato paste.","0","مكونات الأرز:
"
"454","42","A tablespoon of dry coriander.","-2","خليط البهارات المطحونة:
"
"455","42","Two tablespoons of each of:
Cardamom
Cumin.","-2","خليط البهارات المطحونة:
"
"456","42","Cardamom","-2","خليط البهارات المطحونة:
"
"457","42","Cumin.","-2","خليط البهارات المطحونة:
"
"458","42","A tablespoon of each of:
Cinnamon.
Hot red pepper powder.
Black pepper.
Mixed spices.","-2","خليط البهارات المطحونة:
"
"459","42","Cinnamon.","-2","خليط البهارات المطحونة:
"
"460","42","Hot red pepper powder.","-2","خليط البهارات المطحونة:
"
"461","42","Black pepper.","-2","خليط البهارات المطحونة:
"
"462","42","Mixed spices.","-2","خليط البهارات المطحونة:
"
"463","42","A little of each:
Cardamom pills.
Cinnamon sticks.
Bay leaf.
the salt.","-2","خليط البهارات المطحونة:
"
"464","42","Cardamom pills.","-2","خليط البهارات المطحونة:
"
"465","42","Cinnamon sticks.","-2","خليط البهارات المطحونة:
"
"466","42","Bay leaf.","-2","خليط البهارات المطحونة:
"
"467","42","the salt.","-2","خليط البهارات المطحونة:
"
"468","42","A kilogram of ripe and peeled tomatoes.","-4","مكونات الصلصة:
"
"469","42","A century of hot green pepper.","-4","مكونات الصلصة:
"
"470","42","Two teaspoons of crushed garlic.","-4","مكونات الصلصة:
"
"471","42","A little of each:
the salt.
Fried almonds and pine nuts for garnish.","-4","مكونات الصلصة:
"
"472","42","the salt.","-4","مكونات الصلصة:
"
"473","42","Fried almonds and pine nuts for garnish.","-4","مكونات الصلصة:
"
"474","43","Half a cup of each of: chopped green onions, diced carrots, diced mushrooms, and frozen and thawed peas.","0",
"475","43","Two cups of boiled rice.","0",
"476","43","A tablespoon of oyster sauce.","0",
"477","43","Black pepper to taste-.","0",
"478","43","Onion, cut into small cubes.","0",
"479","43","Four eggs with a teaspoon of soy sauce.","0",
"480","43","A little oil.","0",
"481","43","An amount of soy sauce, to taste.","0",
"482","44","Two tablespoons of butter.","0",
"483","44","Two cups of Egyptian short grain rice.","0",
"484","44","Six pieces of chicken pins.","0",
"485","44","Four cloves of crushed garlic.","0",
"486","44","Three sticks of chopped green onions.","0",
"487","44","Two tablespoons of oil.","0",
"488","44","A cup of peas.","0",
"489","44","A large carrot cut into very thin sticks.","0",
"490","44","A century of chopped hot green peppers.","0",
"491","44","A medium sized piece of: Sweet Red Pepper cut into small cubes, Sweet Yellow Pepper cut into small cubes, and Sweet Green Pepper cut into small cubes.","0",
"492","44","Ten medium-sized mushrooms, cut into quarters.","0",
"493","44","Two teaspoons of salt.","0",
"494","44","Three cups of chicken broth.","0",
"495","44","¼ teaspoon of black pepper.","0",
"496","44","Half a teaspoon of turmeric.","0",
"497","44","A small spoon of oregano.","0",
"498","44","Two tablespoons of chopped parsley to garnish.","0",
"499","45","A cup and a quarter of cooked Egyptian rice.","0",
"500","45","A small spoon of chili.","0",
"501","45","Onion slices.","0",
"502","45","Chopped yellow pepper.","0",
"503","45","A teaspoon of olive oil.","0",
"504","45","A kilo and a half of sausage.","0",
"505","45","Chopped red pepper.","0",
"506","45","One and a quarter cup of broth.","0",
"507","45","A small spoon of paprika.","0",
"508","45","Mixed vegetables.","0",
"509","45","Salt and black pepper.","0",
"510","45","Five tablespoons of tomato paste.","0",
"511","45","Four cloves of minced garlic.","0",
"512","45","A tablespoon of chopped parsley.","0",
"513","46","Four cups of long-grain brown rice.","0",
"514","46","Onion, medium size.","0",
"515","46","A tablespoon of tomato paste.","0",
"516","46","A teaspoon of cumin.","0",
"517","46","Five tablespoons of vegetable oil.","0",
"518","46","Salt, to taste-.","0",
"519","46","Eight cups of warm water.","0",
"520","47","Two cups of brown rice.","0",
"521","47","Four cups of water.","0",
"522","47","A tablespoon of olive oil.","0",
"523","47","Onion, large in size.","0",
"524","47","Half a teaspoon of salt.","0",
"525","48","1 peeled zucchini.","0",
"526","48","A piece of bell pepper, cut into cubes.","0",
"527","48","A grain of carrots.","0",
"528","48","One peeled potato.","0",
"529","48","A quarter of a kilogram of minced meat.","0",
"530","48","A cup and a half of brown rice.","0",
"531","48","Pinch of salt.","0",
"532","48","Pinch of black pepper.","0",
"533","48","Two tablespoons of frying oil.","0",
"534","48","Onion.","0",
"535","48","2 cloves of garlic.","0",
"536","48","Two liters of water.","0",
"537","49","Two cups of brown rice.","0",
"538","49","Two tablespoons of butter.","0",
"539","49","Pinch of black pepper and salt.","0",
"540","49","A teaspoon of chicken spices.","0",
"541","49","Half a teaspoon of ginger.","0",
"542","49","Cloves of cardamom.","0",
"543","49","Four pieces of chicken thigh.","0",
"544","49","2 cloves of garlic.","0",
"545","49","Large onion.","0",
"546","49","Four tablespoons of oil.","0",
"547","50","Four cups of basmati rice.","0",
"548","50","Two kilograms of meat.","0",
"549","50","Three grains of potatoes.","0",
"550","50","Chopped onion.","0",
"551","50","Sprinkle an orange.","0",
"552","50","Orange juice.","0",
"553","50","Four tablespoons of rose water.","0",
"554","50","A tablespoon of saffron.","0",
"555","50","A teaspoon of lemon salt.","0",
"556","50","Four tablespoons of kadi water","0",
"557","50","A teaspoon of (cloves, ginger, ground cardamom, and red pepper).","0",
"558","50","A teaspoon of powdered hot pepper.","0",
"559","50","A quarter cup of vegetable oil.","0",
"560","50","Two tablespoons of tomato sauce.","0",
"561","50","Two cinnamon sticks.","0",
"562","51","Two cups of American or basmati rice.","0",
